Tail Number,System,Sub-System,Registration Time,Closing Time,Validated?,Register Profession,Closer Profession
830,11,J,22/01/2019 17:18,22/01/2019 20:41,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
830,28,A,22/01/2019 17:20,22/01/2019 20:36,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
830,11,E,22/01/2019 17:29,22/01/2019 20:38,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
820,74,2,22/01/2019 18:31,22/01/2019 22:44,FALSE,Pilot,Class B Avionics Tech
806,44,A,22/01/2019 19:24,22/01/2019 19:26,TRUE,Class A Electricity Tech,Class A Electricity Tech
830,11,E,22/01/2019 20:43,22/01/2019 21:49,TRUE,Class A Heli Struct Sys Tech,Class A Officer
830,15,A,22/01/2019 20:50,22/01/2019 20:56,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
815,11,C,23/01/2019 10:39,23/01/2019 15:04,TRUE,Class A Tech,Class A Tech
921,74,1,23/01/2019 12:06,24/01/2019 15:04,TRUE,Pilot,Class B Avionics Tech
921,75,A,23/01/2019 12:06,24/01/2019 17:53,FALSE,Pilot,Class A Armament Tech
845,76,W,23/01/2019 12:11,23/01/2019 12:26,TRUE,Class A Electricity Tech,Class B Avionics Tech
967,48,B,23/01/2019 13:46,23/01/2019 15:20,TRUE,Pilot,Class A Electricity Tech
830,12,B,23/01/2019 14:05,23/01/2019 21:07,TRUE,Pilot,Class A Heli Struct Sys Tech
830,43,C,23/01/2019 14:05,23/01/2019 17:22,TRUE,Pilot,Class A Electricity Tech
830,41,A,23/01/2019 14:05,23/01/2019 21:06,TRUE,Pilot,Class A Heli Struct Sys Tech
905,63,A,23/01/2019 14:46,23/01/2019 16:35,TRUE,Pilot,Class B Avionics Tech
830,26,A,23/01/2019 17:11,29/01/2019 11:42,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
845,26,F,23/01/2019 17:30,23/01/2019 17:43,TRUE,Class A Electricity Tech,Class A Electricity Tech
845,49,B,23/01/2019 17:38,23/01/2019 17:51,TRUE,Class A Electricity Tech,Class A Electricity Tech
820,74,6,23/01/2019 18:01,27/01/2019 14:28,TRUE,Pilot,Class B Avionics Tech
956,45,A,23/01/2019 18:43,23/01/2019 21:00,TRUE,Pilot,Class A Heli Struct Sys Tech
801,74,E,23/01/2019 19:08,24/01/2019 15:20,FALSE,Class A Tech,Class B Avionics Tech
801,45,A,23/01/2019 19:12,24/01/2019 10:19,TRUE,Class A Tech,Class A Heli Struct Sys Tech
